                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.24037,                0.30366,                0.19046,                0.84615,                0.96747,                0.92245,                0.97744,                0.97647,                0.94883,                0.90533,                0.94662,                0.93837,                0.15812,                0.25283,                0.14847,                0.78108,              0.0002404,              0.0002404,              0.0002404
                     70,                0.23911,                0.29602,                0.18873,                0.84723,                0.95018,                0.95441,                0.97491,                0.97282,                 0.9298,                0.93456,                0.94006,                0.93719,                0.15577,                0.28668,                0.15221,                0.78063,             0.00023334,             0.00023334,             0.00023334
                     71,                0.23835,                0.28705,                0.18657,                0.84661,                0.95706,                0.95636,                0.97078,                0.96912,                0.93811,                0.93753,                0.94087,                0.93281,                0.15593,                0.38736,                0.15071,                0.77978,             0.00022627,             0.00022627,             0.00022627
                     72,                0.23529,                0.29206,                0.18622,                0.84577,                0.94399,                0.95559,                0.96125,                0.96037,                0.92515,                0.93676,                 0.9309,                0.92899,                0.15283,                0.28127,                0.15867,                 0.7781,              0.0002192,              0.0002192,              0.0002192
                     73,                0.23717,                0.29565,                0.18761,                0.84713,                0.95237,                0.95678,                0.97497,                0.97279,                0.93462,                0.93905,                0.94559,                0.93481,                0.15772,                 0.3351,                0.16689,                0.78183,             0.00021213,             0.00021213,             0.00021213
                     74,                0.23399,                0.29754,                0.18219,                0.84538,                0.95375,                0.95588,                0.97318,                 0.9716,                0.93489,                0.93705,                0.94869,                0.94547,                  0.152,                0.25116,                0.15179,                0.77843,             0.00020506,             0.00020506,             0.00020506
                     75,                0.23901,                0.29803,                0.18248,                0.84633,                0.96673,                0.93881,                 0.9619,                0.96114,                0.94754,                0.92008,                0.92951,                0.92732,                0.15778,                0.35071,                0.14556,                0.77956,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.2389,                0.29638,                0.18272,                0.84679,                0.98068,                0.95381,                0.96134,                0.96035,                0.96249,                0.93618,                 0.9348,                 0.9264,                0.16179,                 0.2144,                0.14686,                0.78566,             0.00019092,             0.00019092,             0.00019092
                     77,                0.23348,                0.29013,                0.18071,                0.84311,                0.97898,                0.95251,                0.96284,                0.96216,                0.96156,                0.93465,                0.93774,                0.93511,                0.14653,                0.28091,                0.14034,                0.77689,             0.00018385,             0.00018385,             0.00018385
                     78,                0.23367,                0.29126,                0.17703,                0.84508,                0.97892,                0.95535,                 0.9625,                0.96203,                0.96115,                0.93762,                0.93315,                0.92799,                0.14599,                0.36579,                0.14247,                0.77573,             0.00017679,             0.00017679,             0.00017679
